"Contact ID","Organization ID","Introduction to ICM"
"0039000000TcWuI","0019000000SDobQ","Other"
"00390000016i70U","00190000012abkE","ICM Event"
"0039000000nne3r","0019000000n2LF8","Friends"
"0039000000nnIUE","0019000000n29Lr","ICM Staff"
"00390000017a9xa","00190000013YV7R","ICM Event"
"0039000001629ea","00190000012CAZq","Other"
"0039000000nnHHS","0019000000n28bL","Other"
"00390000017Yp11","00190000013Whjg","ICM Event"
"00390000017aVhf","00190000013YtsN","ICM Staff"
"0039000001CbDDG","00190000018N75a","ICM Board of Directors/Advisors"
"0039000002EH8gH","0019000001ttZqT","Colleague / Professional Contact"
"0039000000nnYw9","0019000000n2Kiy","ICM Board of Directors/Advisors"
"00390000016fpQb","00190000012Coeb","ICM Staff"
"00390000016i0vL","00190000012aUvM","Other"
"00390000016fsDk","00190000012Cswg","ICM Staff"
"00390000016gEWg","00190000012DMx7","Church"
"00390000016gEfR","00190000012DN2P","Church"
"00390000015zQGO","00190000011Vf8L","Trip"
"0039000001CZF1L","00190000018Kjwy","Other"
"003900000160TnP","00190000011WNi7","Friends"
"0039000000sQNA5","0019000000qApig","Other"
"0039000000sR3lO","0019000000qBF1p","ICM Staff"
"0039000001c0E9O","0019000001PnvTg","ICM Event"
"0039000001c0EWD","0019000001PnvmT","ICM Event"
"003900000160dBX","00190000011WZg4","Friends"
"00390000016fUYB","0019000000Dp2wt","ICM Board of Directors/Advisors"
"0039000001c0Fg6","0019000001PnwBh","ICM Event"
"00390000017a8Kd","00190000013YTwf","ICM Event"
"00390000016hhI0","00190000012a72v","ICM Event"
"0039000001CZYLV","00190000018L7qx","ICM Staff"
"00390000017aBpA","00190000013YW8z","ICM Event"
"0039000000nnBoG","0019000000n21q8","Other"
"0039000000nnBoH","0019000000n21q9","Other"
"0039000000nnBoI","0019000000n21qA","Other"
"0039000000nnBoJ","0019000000n21qB","Other"
"0039000000nnBoK","0019000000n21qC","Other"
"0039000000nnBoL","0019000000n21qD","Other"
"0039000000nnBoM","0019000000n21qE","Other"
"0039000000nnBoN","0019000000n21qF","Other"
"0039000000nnBoO","0019000000n21qG","Other"
"0039000000nnBoP","0019000000n21qH","Other"
"0039000000nnBoQ","0019000000n21qI","Other"
"0039000000nnBoR","0019000000n21qJ","Other"
"0039000000nnBoS","0019000000n21qK","Other"
"0039000000nnBoT","0019000000n21qL","Other"
"0039000000nnBoV","0019000000n21qN","Other"
"0039000000nnBoW","0019000000n21qO","Other"
"0039000000nnIUi","0019000000n29M1","ICM Staff"
