"Contact.ID","blank","others","emails","mails","calls","meetings","presentations","events","Total.Household.Gifts","Gave","bulk_email"
"0039000000DXkWa",1,0,0,0,0,0,0,0,10859.35,TRUE,FALSE
"0039000000DXkWC",1,0,0,0,0,0,0,0,68288.87,TRUE,FALSE
"0039000000DXkwl",0,0,6,0,0,2,1,0,0,FALSE,FALSE
"0039000000DXkwL",1,0,0,0,0,0,0,0,6622.2,TRUE,FALSE
"0039000000DXkwm",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkx4",1,0,0,0,0,0,0,0,162960,TRUE,FALSE
"0039000000DXkxa",0,0,7,0,0,0,0,0,392445.26,TRUE,FALSE
"0039000000DXkxb",0,0,23,0,0,1,0,0,392445.26,TRUE,TRUE
"0039000000DXkxC",0,0,1,0,0,0,0,0,226615,TRUE,FALSE
"0039000000DXkXc",1,0,0,0,0,0,0,0,157740,TRUE,FALSE
"0039000000DXkxD",1,0,0,0,0,0,0,0,13241,TRUE,FALSE
"0039000000DXkXd",1,0,0,0,0,0,0,0,157740,TRUE,FALSE
"0039000000DXkxF",0,0,1,0,0,0,0,0,226615,TRUE,FALSE
"0039000000DXkxG",1,0,0,0,0,0,0,0,820,TRUE,FALSE
"0039000000DXkXh",0,0,3,1,0,0,0,0,63450,TRUE,FALSE
"0039000000DXkXj",0,0,12,0,0,0,0,0,85150,TRUE,TRUE
"0039000000DXkXL",0,0,0,1,0,0,0,0,25954,TRUE,FALSE
"0039000000DXkxn",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkXq",0,1,8,0,0,0,0,0,216950,TRUE,FALSE
"0039000000DXkxR",0,1,1,0,0,1,0,0,375941,TRUE,FALSE
"0039000000DXkxs",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkxS",0,0,1,0,0,0,0,0,375941,TRUE,FALSE
"0039000000DXkxu",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkxU",0,0,4,0,0,0,0,0,144720,TRUE,FALSE
"0039000000DXkXU",0,0,6,0,0,0,0,0,202776.65,TRUE,FALSE
"0039000000DXkxV",0,0,2,0,0,0,0,0,144720,TRUE,FALSE
"0039000000DXkxw",1,0,0,0,0,0,0,0,11700,TRUE,FALSE
"0039000000DXky6",1,0,0,0,0,0,0,0,820,TRUE,FALSE
"0039000000DXky8",0,0,10,0,0,0,0,0,878512,TRUE,TRUE
"0039000000DXkyD",0,0,5,0,0,0,0,0,451182.78,TRUE,FALSE
"0039000000DXkyF",0,0,31,0,0,0,0,0,451182.78,TRUE,TRUE
"0039000000DXkYG",1,0,0,0,0,0,0,0,26650.4,TRUE,FALSE
"0039000000DXkyI",0,0,3,0,0,0,0,0,258121,TRUE,FALSE
"0039000000DXkYI",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkyJ",0,0,3,0,0,0,0,0,258121,TRUE,FALSE
"0039000000DXkYn",0,0,5,0,0,1,0,0,334398,TRUE,FALSE
"0039000000DXkYN",0,0,26,0,0,1,0,0,94480,TRUE,TRUE
"0039000000DXkYQ",0,0,2,0,0,0,0,0,61403.5,TRUE,FALSE
