Household: Household ID,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017
a009000000TR4kQ,1,0,0,0,0
a009000000TR4kR,1,0,0,0,0
a009000000TR4kT,1,0,0,0,0
a009000000TR4kY,1,0,0,0,0
a009000000TR4kZ,1,0,0,0,0
a009000000TR4kk,1,0,0,0,0
a009000000TR4kl,1,0,0,0,0
a009000000TR4km,1,0,0,0,0
a009000000TR4ko,1,0,0,0,0
a009000000TR4kq,1,0,0,0,0
a009000000TREOi,1,0,0,0,0
a009000000TREtL,1,0,0,0,0
a009000000Tj5mq,1,0,0,0,0
a009000000Tj5mr,1,0,0,1,0
a009000000Tj5oB,1,0,0,0,0
a009000000Tj5oD,1,0,0,0,0
a009000000Tj5oG,1,0,0,0,0
a009000000Tj5oI,1,0,0,0,0
